"ID","SID","city","state"
523,20,"Seraikela Kharsawan","Jharkhand"
524,20,"Simdega","Jharkhand"
525,20,"West Singhbhum","Jharkhand"
527,7,"Dakshina Kannada","Karnataka"
528,7,"Gulbarga","Karnataka"
530,7,"Hassan","Karnataka"
531,7,"Uttara Kannada","Karnataka"
532,7,"Bangalore Urban","Karnataka"
533,7,"Uttara Kannada","Karnataka"
534,7,"Dharwad","Karnataka"
535,7,"Hassan","Karnataka"
536,7,"Hassan","Karnataka"
537,7,"Belagavi","Karnataka"
538,7,"Bidar","Karnataka"
539,7,"Bagalkot","Karnataka"
540,7,"Bellary","Karnataka"
541,7,"Bangalore Urban","Karnataka"
542,7,"Belagavi","Karnataka"
543,7,"Bangalore Urban","Karnataka"
544,7,"Bidar","Karnataka"
545,7,"Bijapur","Karnataka"
546,7,"Chamarajanagar","Karnataka"
547,7,"Chikballapur","Karnataka"
548,7,"Chikkamagaluru","Karnataka"
549,7,"Belagavi","Karnataka"
550,7,"Chikballapur","Karnataka"
551,7,"Chitradurga","Karnataka"
552,7,"Davanagere","Karnataka"
553,7,"Dharwad","Karnataka"
554,7,"Gadag","Karnataka"
555,7,"Gadag","Karnataka"
556,7,"Belagavi","Karnataka"
557,7,"Gulbarga","Karnataka"
558,7,"Chamarajanagar","Karnataka"
559,7,"Hassan","Karnataka"
560,7,"Haveri","Karnataka"
561,7,"Bellary","Karnataka"
562,7,"Dharwad","Karnataka"
563,7,"Belagavi","Karnataka"
564,7,"Udupi","Karnataka"
565,7,"Gulbarga","Karnataka"
566,7,"Uttara Kannada","Karnataka"
567,7,"Kodagu","Karnataka"
568,7,"Kolar","Karnataka"
569,7,"Udupi","Karnataka"
570,7,"Koppal","Karnataka"
571,7,"Belagavi","Karnataka"
572,7,"Raichur","Karnataka"
573,7,"Ramanagara","Karnataka"
574,7,"Dakshina Kannada","Karnataka"
575,7,"Raichur","Karnataka"
576,7,"Mandya","Karnataka"
577,7,"Tumkur","Karnataka"
578,7,"Kodagu","Karnataka"
579,7,"Bagalkot","Karnataka"
580,7,"Mandya","Karnataka"
581,7,"Mandya","Karnataka"
582,7,"Dakshina Kannada","Karnataka"
583,7,"Dakshina Kannada","Karnataka"
584,7,"Belagavi","Karnataka"
585,7,"Bijapur","Karnataka"
586,7,"Bagalkot","Karnataka"
587,7,"Kolar","Karnataka"
588,7,"Gadag","Karnataka"
589,7,"Mysuru","Karnataka"
590,7,"Mysuru","Karnataka"
591,7,"Gulbarga","Karnataka"
592,7,"Tumkur","Karnataka"
593,7,"Mysuru","Karnataka"
594,7,"Dakshina Kannada","Karnataka"
595,7,"Raichur","Karnataka"
596,7,"Ramanagara","Karnataka"
597,7,"Shimoga","Karnataka"
598,7,"Tumkur","Karnataka"
599,7,"Udupi","Karnataka"
600,7,"Uttara Kannada","Karnataka"
601,7,"Yadgir","Karnataka"
602,8,"Pathanamthitta","Kerala"
603,8,"Thrissur","Kerala"
604,8,"Alappuzha","Kerala"
605,8,"Kannur","Kerala"
606,8,"Kozhikode","Kerala"
607,8,"Thrissur","Kerala"
608,8,"Thiruvananthapuram","Kerala"
609,8,"Thrissur","Kerala"
610,8,"Thrissur","Kerala"
611,8,"Kottayam","Kerala"
612,8,"Ernakulam","Kerala"
613,8,"Alappuzha","Kerala"
614,8,"Alappuzha","Kerala"
615,8,"Kannur","Kerala"
616,8,"Palakkad","Kerala"
617,8,"Kannur","Kerala"
