State,Constituency,Date Of Election,Candidate,Candidate ID,Party,Age,Sex,Category
MAHARASHTRA,SANGLI,4/17/2014,Sanjaykaka Patil,3655,BJP,49,M,GEN
MAHARASHTRA,SATARA,4/17/2014,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,3676,NCP,48,M,GEN
MAHARASHTRA,SHIRDI,4/17/2014,Lokhande Sadashiv Kisan,3405,SHS,51,M,SC
MAHARASHTRA,SHIRUR,4/17/2014,Adhalrao Shivaji Dattatrey,3391,SHS,59,M,GEN
MAHARASHTRA,SOLAPUR,4/17/2014,Sharad Bansode,3692,BJP,46,M,SC
MAHARASHTRA,THANE,4/24/2014,Vichare Rajan Baburao,5662,SHS,52,M,GEN
MAHARASHTRA,WARDHA,4/10/2014,Ramdas Chandrabhanji Tadas,944,BJP,60,M,GEN
MAHARASHTRA,YAVATMAL-WASHIM,4/10/2014,Gawali Bhavana Pundlikrao,1511,SHS,41,F,GEN
MANIPUR,INNER MANIPUR,4/17/2014,Dr. Thokchom Meinya,3477,INC,69,M,GEN
MANIPUR,OUTER MANIPUR,4/9/2014,Thangso Baite,534,INC,61,M,ST
MEGHALAYA,SHILLONG,4/9/2014,Vincent H. Pala,538,INC,46,M,ST
MEGHALAYA,TURA,4/9/2014,Purno Agitok Sangma,650,NPP,66,M,ST
MIZORAM,MIZORAM,4/11/2014,C. L. Ruala,1042,INC,78,M,ST
NAGALAND,NAGALAND,4/9/2014,Neiphiu Rio,407,NPF,63,M,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,4/10/2014,Dr. Harsh Vardhan,65,BJP,59,M,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,4/10/2014,Mahesh Giri,67,BJP,39,M,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,4/10/2014,Smt. Meenakshi Lekhi,68,BJP,46,F,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,NORTH EAST DELHI,4/10/2014,Manoj Tiwari,66,BJP,43,M,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,NORTH WEST DELHI,4/10/2014,Udit Raj,69,BJP,56,M,SC
NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,4/10/2014,Ramesh Bidhuri,71,BJP,52,M,GEN
NATIONAL CAPITAL TERRITORY OF DELHI,WEST DELHI,4/10/2014,Parvesh Sahib Singh,70,BJP,36,M,GEN
ORISSA,ASKA,4/10/2014,Ladu Kishore Swain,823,BJD,66,M,GEN
ORISSA,BALASORE,4/17/2014,Rabindra Kumar Jena,3239,BJD,46,M,GEN
ORISSA,BARGARH,4/10/2014,Prabhas Kumar Singh,789,BJD,50,M,GEN
ORISSA,BERHAMPUR,4/10/2014,Sidhant Mohapatra,118,BJD,47,M,GEN
ORISSA,BHADRAK,4/17/2014,Arjun Charan Sethi,3246,BJD,73,M,SC
ORISSA,BHUBANESWAR,4/17/2014,Prasanna Kumar Patasani-,3710,BJD,71,M,GEN
ORISSA,BOLANGIR,4/10/2014,Kalikesh Narayan Singh Deo,807,BJD,39,M,GEN
ORISSA,CUTTACK,4/17/2014,Bhartruhari Mahatab,3276,BJD,57,M,GEN
ORISSA,DHENKANAL,4/17/2014,Tathagata Satpathy,3263,BJD,57,M,GEN
ORISSA,JAGATSINGHPUR,4/17/2014,Kulamani Samal,3712,BJD,65,M,SC
ORISSA,JAJPUR,4/17/2014,Rita Tarai,3255,BJD,37,F,SC
ORISSA,KALAHANDI,4/10/2014,Arka Keshari Deo,815,BJD,35,M,GEN
ORISSA,KANDHAMAL : BYE ELECTION ON 15-10-2014,0000-00-00,Pratyusha Rajeshwari Singh,9888,BJD,42,F,GEN
ORISSA,KENDRAPARA,4/17/2014,Sri Baijayant Panda,3287,BJD,50,M,GEN
ORISSA,KEONJHAR,4/17/2014,Sakuntala Laguri,3220,BJD,34,F,ST
ORISSA,KORAPUT,4/10/2014,Jhina Hikaka,1171,BJD,39,M,ST
ORISSA,MAYURBHANJ,4/17/2014,Rama Chandra Hansdah,3228,BJD,39,M,ST
ORISSA,NABARANGPUR,4/10/2014,Balabhadra Majhi,816,BJD,53,M,ST
ORISSA,PURI,4/17/2014,Pinaki Mishra,3715,BJD,54,M,GEN
ORISSA,SAMBALPUR,4/10/2014,Nagendra Kumar Pradhan,796,BJD,61,M,GEN
ORISSA,SUNDARGARH,4/10/2014,Jual Oram,804,BJP,53,M,ST
PUDUCHERRY,PONDICHERRY,4/24/2014,R. Radhakrishnan,5578,All India N.R. Congress,42,M,GEN
PUNJAB,AMRITSAR,4/30/2014,Captain Amarinder Singh,6088,INC,72,M,GEN
PUNJAB,ANANDPUR SAHIB,4/30/2014,Prem Singh Chandumajra,6110,SAD,64,M,GEN
PUNJAB,BATHINDA,4/30/2014,Harsimrat Kaur Badal,7800,SAD,47,F,GEN
PUNJAB,FARIDKOT,4/30/2014,Prof. Sadhu Singh,6133,AAP,73,M,SC
PUNJAB,FATEHGARH SAHIB,4/30/2014,Harinder Singh Khalsa,6141,AAP,67,M,SC
PUNJAB,FIROZPUR,4/30/2014,Sher Singh Ghubaya,6148,SAD,51,M,GEN
PUNJAB,GURDASPUR,4/30/2014,Vinod Khanna,7656,BJP,68,M,GEN
PUNJAB,HOSHIARPUR,4/30/2014,Vijay Sampla,101,BJP,52,M,SC
PUNJAB,JALANDHAR,4/30/2014,Santokh Singh Chaudhary,7699,INC,67,M,SC
PUNJAB,KHADOOR SAHIB,4/30/2014,Ranjit Singh Brahmpura,7682,SAD,76,M,GEN
PUNJAB,LUDHIANA,4/30/2014,Ravneet Singh Bittu,7751,INC,38,M,GEN
PUNJAB,PATIALA,4/30/2014,Dr.Dharam Vira Gandhi,7853,AAP,63,M,GEN
PUNJAB,SANGRUR,4/30/2014,Bhagwant Mann,7830,AAP,41,M,GEN
RAJASTHAN,AJMER,4/17/2014,Sanwar Lal Jat,3412,BJP,59,M,GEN
RAJASTHAN,ALWAR,4/24/2014,Mahant Chand Nath Yogi,5070,BJP,58,M,GEN
RAJASTHAN,BANSWARA,4/17/2014,Manshankar Ninama,2442,BJP,58,M,ST
RAJASTHAN,BARMER,4/17/2014,Col. Sona Ram,2472,BJP,73,M,GEN
RAJASTHAN,BHARATPUR,4/24/2014,Bahadur Singh,4225,BJP,56,M,SC
RAJASTHAN,BHILWARA,4/17/2014,Subhash Chandra Baheria,2415,BJP,57,M,GEN
RAJASTHAN,BIKANER,4/17/2014,Arjun Ram Meghwal,2304,BJP,60,M,SC
RAJASTHAN,CHITTORGARH,4/17/2014,Chandra Prakash,2436,BJP,38,M,GEN
RAJASTHAN,CHURU,4/17/2014,Rahul Kaswan,2312,BJP,37,M,GEN
RAJASTHAN,DAUSA,4/24/2014,Harish Chandra,4237,BJP,59,M,ST
RAJASTHAN,GANGANAGAR,4/17/2014,Nihalchand,2281,BJP,43,M,SC
RAJASTHAN,JAIPUR,4/17/2014,Ramcharan Bohara,2371,BJP,56,M,GEN
