Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Suresh Kumar,0,Graduate,8650,Moulik Adhikar Party,111117,0,459
Tiger Ram Nihor,0,8th Pass,8654,IND,5347882,0,459
Vinod Kumar Tiwari,0,10th Pass,8400,IND,795000,0,459
Ashok Tanwar,1,Doctorate,418,INC,72777188,11222039,143
Balwant Singh,0,10th Pass,1998,Bharatiya Sant Mat Party,1053000,0,143
Charanjeet Singh,0,10th Pass,1056,INLD,8146887,3260000,143
Comrade Ram Kumar,0,12th Pass,199,CPI(M),877705,0,143
Dr. Sushil Indora,0,Graduate Professional,422,HJC(BL),31066422,28522,143
Fakir Chand,0,8th Pass,2003,IND,438500,0,143
Hansraj Hansa,0,12th Pass,2001,Jan Morcha,77000,0,143
Jagdish,0,Graduate,2002,IND,759500,0,143
Jaipal Bhatti,0,5th Pass,421,IND,2300000,0,143
Mange Ram,0,Graduate,419,BSP,6507759,0,143
Manjeet Singh,0,5th Pass,2004,IND,710000,0,143
Mewa Singh,0,5th Pass,426,IND,5696200,0,143
Poonam Chand,0,12th Pass,425,AAP,3825442,0,143
Raj Kumar Nagar,0,Graduate,1999,SP,5675000,3200000,143
Rajbir Palna,0,Post Graduate,423,IND,356000,37362,143
Ranvir Khobra,0,Graduate,2005,IND,7896000,1450000,143
