uuid,did,cid,name,cname,designation
755,206,3099,A Naresh Kumar,Sathavahana Ispat Ltd,Managing Director
756,207,256,A Ortoli,Sanofi India Ltd,Director
757,208,12212,A P Choudhary,Rashtriya Ispat Nigam Ltd,Director (Projects)
758,209,782,A P Gandhi,Lumax Industries Ltd,Director
759,210,12177,A P Joshi,Nuclear Power Corporation,Director (Part-Time)
760,211,2400,A P Kothari,Precision Wires India Ltd,Director
761,212,21241,A P Kurian,National Stock Exchange Of India Ltd,Director
762,213,12324,A P Parigi,"Bennett, Coleman & Company Ltd",Director
763,214,20314,A P Rao,GMR Vemagiri Power Generation Ltd,Director
764,215,56,A P Singh,Ballarpur Industries Ltd,Nominee (LIC)
765,216,1909,A P Singh,Rolta India Ltd,Director
766,217,2303,A P V N Sarma,Neyveli Lignite Corporation Ltd,Director(PartTime NonOfficial)
767,218,14222,A P V N Sarma,Gati Ltd,Independent Director
768,219,14170,A P V N Sharma,Western Coalfields Ltd,Director
769,220,24936,A P Vasantha Kumar,Zylog Systems Ltd,Director
770,221,4402,A P Venkateshwaran,Tulsyan NEC Ltd,Director (Finance)
771,222,502,A Pradhan,Sesa Goa Ltd,Whole-time Director
772,223,12399,A Praveen Reddy,Indian Farmers Fertilizer Cooperative Ltd,Director
773,224,2303,A R Ansari,Neyveli Lignite Corporation Ltd,Chairman & Managing Director
774,225,342,A R Broacha,KSB Pumps Ltd,Director
775,226,31,A R Chandrasekharan,Ashok Leyland Ltd,Executive Director & CS
776,227,911,A R Gandhi,Indo Gulf Corporation Ltd (Merged),Director
777,228,557,A R Gandhi,Tata Global Beverages Ltd,Director
778,229,551,A R Gandhi,Tata Infotech Ltd(merged),Director
779,230,3511,A R Jamenis,Kirloskar Ferrous Industries Ltd,Director
780,231,25777,A R Mundra,Bombay Rayon Fashions Ltd,Executive Director (Finance)
781,232,2307,A R Narayanaswamy,Hindustan Zinc Ltd,Director
782,233,1047,A R Narayanaswamy,Sterlite Industries (India) Ltd,Additional Director
783,234,21331,A R Narayanaswamy,Sterlite Technologies Ltd,Director
784,235,1016,A R Rajaram,Titan Industries Ltd,Company Secretary
785,236,6083,A R Sankaranarayanan,Manappuram Finance Ltd,Director
786,237,1178,A R Venkatachalam,Hewlett-Packard Globalsoft Pvt Ltd,Additional Director
787,238,24769,A Rajesh,Muthoot Finance Ltd,Company Secretary
788,239,5458,A Ramakrishna,GVK Industries Ltd,Director
789,240,357,A Ramakrishna,Madras Cements Ltd,Director
790,241,23956,A Ramamohana Rao,Ushodaya Enterprises Ltd,Director
791,242,5671,A Roja Mogili,Tata Projects Ltd,Company Secretary
792,243,12008,A Roy Chowdhury,Durgapur Projects Ltd,Director
793,244,12584,A S Bakshi,NHPC Ltd,Official Director (Part time)
794,245,13869,A S Bisht,THDC India Ltd,Director (Personnel)
795,246,20883,A S Diwanji,Cadila Healthcare Ltd,Director
796,247,56,A S Dulat,Ballarpur Industries Ltd,Director
797,248,365,A S Ganguly,Mahindra & Mahindra Ltd,Director
798,249,1781,A S Lakshmanan,Kirloskar Electric Company Ltd,Director
799,250,20600,A S Mohanty,Glenmark Pharmaceuticals Ltd,Director
800,251,2598,A S N Raju,NCC Ltd,Whole-time Director
801,252,4248,A S Narayanamoorthy,LIC Housing Finance Ltd,Director
802,253,3099,A S Rao,Sathavahana Ispat Ltd,Executive Vice Chairman
803,254,3356,A S Sodhi,Rana Sugars Ltd,Director
804,255,12607,A S Upadhayay,Container Corporation Of India Ltd,Govt Director-Part Time
805,256,28009,A Sakar,K P R Mill Ltd,Whole-time Director
806,257,17975,A Sankarakrishnan,Kone Elevator India Pvt Ltd,Director
807,258,270,A Sankarakrishnan,India Cements Ltd,Director
808,259,247,A Sankaranarayanan,Hindustan Motors Ltd,Director
809,260,105,A Saraban,ITD Cementation India Ltd,Managing Director
810,261,2324,A Saran,Bongaigaon Refinery & Petrochemicals Ltd(merged),Director (Operation)
811,262,265,A Satyanarayana,Gulf Oil Corporation Ltd,Deputy Company Secretary
812,263,24267,A Seshagiri Rao,Progressive Constructions Ltd,Director
813,264,3361,A Sivaram Nair,MphasiS Ltd,Company Secretary
814,265,14871,A Swaminathan,BGR Energy Systems Ltd,WTD(Sales & Marketing)
815,266,25557,A T Khemchandani,Hazel Mercantile Ltd,Company Secretary
816,267,24048,A T Thakore,Vodafone Essar Gujarat Ltd,Company Secretary
817,268,27273,A T Vaswani,K E C International Ltd,Director
818,269,20350,A T Ziolkowski,Kalyani Carpenter Special Steels Ltd,Director
819,270,602,A U Rijhsinghani,Walchandnagar Industries Ltd,Director
820,271,19296,A V Chowgule,Chowgule & Company Pvt Ltd,Executive Director
821,272,19983,A V Dhoot,Videocon Industrial Finance Ltd,Director
822,273,265,A V Dujean,Gulf Oil Corporation Ltd,Alternate Director
823,274,1127,A V Ghodgaonkar,Jain Irrigation Systems Ltd,Company Secretary
824,275,12037,A V Jawakar,Central Warehousing Corporation,Company Secretary
825,276,102,A V Lodha,Graphite India Ltd,Director
826,277,4019,A V M Surjit Krishan Sharma,Fedders Lloyd Corporation Ltd,Director
827,278,2598,A V N Raju,NCC Ltd,Whole-time Director
828,279,24936,A V Rajwade,Zylog Systems Ltd,Director
829,280,12849,A V Rammurty,Rain Calcining Ltd(merged),Director
830,281,19440,A V Rammurty,PPN Power Generating Company Pvt Ltd,Nominee (IDBI)
831,282,1369,A V Rammurty,Man Industries (India) Ltd,Director
832,283,2598,A V S Raju,NCC Ltd,Chairman Emeritus
833,284,5470,A V Upadhyay,Johnson & Johnson Ltd,Company Secretary
834,285,5540,A V V Krishnan,Telecommunications Consultants India Ltd,Company Secretary
835,286,13153,A Vellayan,Indian Potash Ltd,Director
836,287,838,A Vellayan,Godavari Fertilizers & Chemicals Ltd(merged),Chairman
837,288,148,A Vellayan,EID Parry (India) Ltd,Chairman
838,289,123,A Vellayan,Coromandel International Ltd,Chairman
839,290,12122,A Velliangiri,Tamil Nadu Newsprint & Papers Ltd,Deputy Managing Director & CS
840,291,4133,A Venkata Reddy,Southern Power Distribution Company of AP Ltd,Director (Finance)
841,292,1106,A Venkatrangan,Paper Products Ltd,Additional Director
842,293,378,A Vijay Shankar,Bosch Ltd,Company Secretary
843,294,480,A Vyas,Procter & Gamble Hygiene and Health Care Ltd,Company Secretary
844,295,5470,A Wadia,Johnson & Johnson Ltd,Director
845,296,19197,A Y Mahajan,Saint Gobain Glass India Ltd,Chairman
846,297,209,A Y Mahajan,Grindwell Norton Ltd,Managing Director
847,298,22735,Aarti Singal,Bhushan Power & Steel Ltd,Vice Chairperson & WTD (Admin)
848,299,22868,Aayush Lohia,Ramsarup Industries Ltd,Director
849,300,5575,Abdul Kalam,Mahanadi Coalfields Ltd,Director (Part-Time)
850,301,12059,Abdul Kalam,NMDC Ltd,Director
851,302,22265,Abdul Rahim Abu Bakar,IDFC Ltd,Nominee
852,303,732,Abha chaturvedi,Balmer Lawrie & Company Ltd,Director
853,304,17416,Abhay Agarwal,Polaris Financial Technology Ltd,Director
854,305,53,Abhay Firodia,Force Motors Ltd,Chairman
855,306,592,Abhay Havaldar,Jubilant Life Sciences Ltd,Director
856,307,12111,Abhay Havaldar,Hexaware Technologies Ltd,Director
857,308,12052,Abhay Kumar Kanth,Heavy Engineering Corporation Ltd,Company Secretary
858,309,2915,Abhay V Udeshi,Jayant Agro Organics Ltd,Executive Director
859,310,259,Abhaya Shankar,Hyderabad Industries Ltd,Managing Director
860,311,64,Abhihit Roy,Berger Paints India Ltd,Director & COO
861,312,5482,Abhijit Ghosh,Hindustan Steel Works Construction Ltd,Director (Finance)
862,313,25397,Abhijit K Avarsekar,Unity Infraprojects Ltd,Vice Chairman & M.D.
863,314,282,Abhijit Mukerji,Indian Hotels Co Ltd,E D (Hotel Operation)
864,315,186,Abhijit Rajan,Gammon India Ltd,Chairman & Managing Director
865,316,28565,Abhinav Sinha,Vuppalamritha Magnetic Components Ltd,Alternate Director
866,317,14170,Abhiram Sharma,Western Coalfields Ltd,Director (Technical)
867,318,26838,Abhishek Agrawal,Godawari Power & Ispat Ltd,Whole-time Director
868,319,2970,Abhishek Gupta,Trident Ltd,Managing Director
869,320,2153,Abhishek Khaitan,Radico Khaitan Ltd,Managing Director
870,321,519,Abhishek Somany,Somany Ceramics Ltd,Joint Managing Director
871,322,2497,Abid Ali Neemuchwala,TCS e-Serve Ltd,Director
872,323,508,Abid Hussain,Shree Cement Ltd,Director
873,324,8021,Abid Hussain,Wockhardt Ltd,Director
874,325,5458,Abid Hussain,GVK Industries Ltd,Director
875,326,28245,Achal Ghai,Tecpro Systems Ltd,Director
876,327,15853,Achal Kumar Joti,Gujarat State Petroleum Corporation Ltd,Chairman
877,328,27458,Achin Garg,NKG Infrastructure Ltd,Director
878,329,3673,Achintya Karati,Shyam Telecom Ltd,Director
879,330,1150,Achintya Karati,Jay Bharat Maruti Ltd,Director
880,331,28315,Achintya Karati,Neel Metal Products Ltd,Independent Director
881,332,17136,Achintya Karati,J K Cements Ltd,Director
882,333,1971,Adarsh Bagaria,Spanco Ltd,Whole-time Director
883,334,27333,Adarsh Hegde,Allcargo Logistics Ltd,Executive Director
884,335,3139,Adarsh Jhunjhunwala,JVL Agro Industries Ltd,Whole-time Director
885,336,3272,Adarsh Kishore,Havells India Ltd,Director
886,337,24951,Adesh Gupta,UltraTech Cement Ltd,Director
887,338,227,Adesh Gupta,Grasim Industries Ltd,Whole Time Director & CFO
888,339,13332,Adi B Godrej,Godrej & Boyce Manufacturing Company Ltd,Director
889,340,21960,Adi Godrej,Godrej Consumer Products Ltd,Chairman & Wholetime Director
890,341,12330,ADI JEHANGIR ENGINEER,Tata B P Solar India Ltd,Director
891,342,23589,Adil I Allana,Frigerio Conserva Allana Ltd,Director
892,343,2900,Adish Oswal,Vardhman Polytex Ltd,Executive Director
893,344,12029,Adit Jain,Engineers India Ltd,Director
894,345,1745,Adit Jain,Shriram Transport Finance Company Ltd,Director
895,346,2293,Adit Jain,Mahanagar Telephone Nigam Ltd,Director (Part-Time)
896,347,22221,Aditi Das Rout,PEC Ltd,Director
897,348,24008,Aditi Khandekar,Air-India Charters Ltd,Company Secretary
898,349,28245,Aditya Gabrani,Tecpro Systems Ltd,Whole-time Director
899,350,346,Aditya Himatsingka,Lakshmi Machine Works Ltd,Director
900,351,24619,Aditya Jajodia,Jai Balaji Industries Ltd,Chairman and MD & CEO
901,352,751,Aditya Khaitan,McNally Bharat Engineering Company Ltd,Director
902,353,24988,Aditya Khaitan,Mcleod Russel India Ltd,Managing Director
903,354,12324,Aditya Mittal,"Bennett, Coleman & Company Ltd",Director
904,355,1119,Aditya N Rao,Pennar Industries Ltd,Executive Director
905,356,284,Aditya Narayan,BOC India Ltd,Additional Director
906,357,18593,Aditya Nath Das,Andhra Pradesh Power Generation Corporation Ltd,Director
907,358,5497,Aditya Prakash Mishra,Ircon International Ltd,Part Time Chairman
908,359,2167,Aditya Puri,ISGEC Heavy Engineering  Ltd,Managing Director
909,360,3924,Aditya Sanghi,Sanghi Industries Ltd,Whole-time Director
910,361,6423,Aditya Vardhan Agarwal,Emami Ltd,Whole-time Director
911,362,165,Aditya Vikram Somani,Everest Industries Ltd,Executive Chairman
912,363,2943,Afzal E Kader,Liberty Oil Mills Ltd,Director
913,364,2307,Agnivesh Agarwal,Hindustan Zinc Ltd,Chairman
914,365,18014,Ahmad Mohamad Dabbous,IL&FS Engineering & Construction Co Ltd,Director
915,366,28018,Ahmed Jamal Jawa,Emaar MGF Land Ltd,Director
916,367,6,Aidan Lynam,ACC Ltd,Director
917,368,24955,Aishwarya Katoch,Indiabulls Financial Services Ltd,Director
918,369,1019,Ajai Chowdhry,HCL Infosystems Ltd,Chairman (Non-Executive)
919,370,514,Ajai Jain,Siemens Ltd,Vice President & CS
920,371,93,Ajai Puri,Britannia Industries Ltd,Director
921,372,23050,Ajai Vikram Singh,Pipavav Defence & Offshore Engineering Company Ltd,Director
